run_id,model_id,model_variant,setting,few_step_prior,task,modality,protocol,backend,case_id,category,prompt,prompt_hash,method,method_family,sampler_mode,actual_nfe,num_inference_steps,base_sample_steps,split_pairs,scheduler_name,flow_shift,guidance_scale,pag_guidance_scale,seed,height,width,reference_method,reference_nfe,low_baseline_method,output_path,schedule_json_path,stdout_log_path,stderr_log_path,runtime_json_path,status,error_message,git_commit,dirty_status
sana06b_bss_bds_v1_smoke_smoke_official_uniform8,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,smoke_official,official smoke,"a cyberpunk cat with a neon sign that says ""Sana""",79402fc97f21,uniform8,uniform,uniform,8,8,,,flow_dpm-solver,4.0,5.0,2.0,42,1024,1024,reference_uniform50,50,uniform8,images/smoke/smoke_official_uniform8.png,schedules/smoke/smoke_official_uniform8.json,logs/smoke/smoke_official_uniform8.stdout.log,logs/smoke/smoke_official_uniform8.stderr.log,runtimes/smoke/smoke_official_uniform8.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_smoke_smoke_official_uniform10,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,smoke_official,official smoke,"a cyberpunk cat with a neon sign that says ""Sana""",79402fc97f21,uniform10,uniform,uniform,10,10,,,flow_dpm-solver,4.0,5.0,2.0,42,1024,1024,reference_uniform50,50,uniform8,images/smoke/smoke_official_uniform10.png,schedules/smoke/smoke_official_uniform10.json,logs/smoke/smoke_official_uniform10.stdout.log,logs/smoke/smoke_official_uniform10.stderr.log,runtimes/smoke/smoke_official_uniform10.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_smoke_smoke_official_bss10,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,smoke_official,official smoke,"a cyberpunk cat with a neon sign that says ""Sana""",79402fc97f21,bss10,bss,bss,10,10,8,"0,-1",flow_dpm-solver,4.0,5.0,2.0,42,1024,1024,reference_uniform50,50,uniform8,images/smoke/smoke_official_bss10.png,schedules/smoke/smoke_official_bss10.json,logs/smoke/smoke_official_bss10.stdout.log,logs/smoke/smoke_official_bss10.stderr.log,runtimes/smoke/smoke_official_bss10.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
sana06b_bss_bds_v1_smoke_smoke_official_reference_uniform50,Sana-0.6B,Sana_600M_1024px,Image Generation,None / not explicit,t2i,image,fixed_prompt_suite_official_sana_pipeline,native,smoke_official,official smoke,"a cyberpunk cat with a neon sign that says ""Sana""",79402fc97f21,reference_uniform50,reference,uniform,50,50,,,flow_dpm-solver,4.0,5.0,2.0,42,1024,1024,reference_uniform50,50,uniform8,images/smoke/smoke_official_reference_uniform50.png,schedules/smoke/smoke_official_reference_uniform50.json,logs/smoke/smoke_official_reference_uniform50.stdout.log,logs/smoke/smoke_official_reference_uniform50.stderr.log,runtimes/smoke/smoke_official_reference_uniform50.runtime.json,pending,,59629fdf790850797cb657bad014fce432bd713d,"?? Prompt.txt
?? bss_experiments/"
